source_id,best_classification,int_average_g,phot_variable_flag,pf,epoch_g
414133601528648192,RRc,15.008241,VARIABLE,,1699.271200596806
6061538029773730560,RRc,19.13884,VARIABLE,,1698.893859434699
6061554625538484352,RRc,17.175692,VARIABLE,,1698.8363963383965
