source_id,ra,dec,parallax,b,pf,epoch_g,int_average_g,int_average_g_error
5082275006547809536,55.908656887737756,-25.069824753615666,0.26809523957285347,-51.47302371332451,0.5599589021541818,1715.712446305689,13.462838,0.003699631
5083946363004134144,57.46167951706597,-23.93054026446269,0.5946781130908292,-49.8322488970572,0.49750448582774803,1715.8045403861545,12.052523,0.0041959034
5094203642556959744,60.80074303875493,-19.853202386844266,0.5017024595959433,-45.693940849004406,0.6088124847419696,1715.665077700699,11.987591,0.0063922284
5094426804761045248,60.04487036910923,-19.827044802745775,0.4086511433886336,-46.35806582585982,0.6021733362599567,1715.2231449142398,12.443733,0.010910096
5098240155900394112,51.16015378180931,-23.57851381193244,0.36106562106170625,-55.33792695831056,0.629624359508207,1714.438814862116,12.518427,0.01379541
4658048266412380288,82.3241822609254,-69.36958691558688,1.5453037460475805,-32.46203610681037,0.5651730862028925,1694.7674176243436,19.242418,0.029460032
4654699433004977920,73.25966067452313,-71.00418624335255,8.071455328097471,-35.04652054776616,0.5135721592999917,1695.3821485246174,19.498472,0.10177972
580348453620559360,136.20240348333073,5.502315372000791,0.5183501987504233,32.04933996526803,0.49683257697623245,1757.7706434634695,12.555153,0.028456397
584371601026374272,133.72290623274645,6.436824593962133,0.5023216203946383,30.31802198627761,0.636424023604154,1756.9964357712986,12.259682,0.0019192556
586254622063844736,142.60890413338174,7.205748909109174,0.413362843606383,38.44674515040859,0.6028511675471729,1758.1237955950864,12.420674,0.0035330036
3834029481648387968,147.03919260764712,0.0021212260867012373,0.46998302687876625,38.335091384808436,0.8339198454747654,1759.554580389306,11.845472,0.0040187407
3844396540563624832,142.28065991626687,1.456713329395275,0.613325049466868,35.20937516561878,0.6343515568959289,1759.2446304695961,11.697707,0.0032393388
1154484945718096000,223.67339149871557,2.739102932628916,0.2718416678416622,51.74572637926257,0.6626989274447298,1707.7469073667792,13.727878,0.017052189
1154932172072449280,224.62096968890128,3.4383544798111108,0.2505670205961741,51.50796725073917,0.4813856201641741,1708.7550190663967,13.872293,0.01642101
1157097900741574784,227.99491455108526,6.038828214321395,0.25878082375580325,50.51207589177224,0.4650393110156827,1709.8549699163693,13.527132,0.034905
1163903534120157952,229.82815581107042,7.88499596103219,0.3229911854625267,50.07633585600629,0.5479388429963341,1710.655697271529,12.831994,0.036321428
3785081118060878336,167.8414069519628,-5.892082828247978,0.4453030510200071,49.061622819465654,0.6728687446134998,1668.3255166600957,12.00569,0.028767461
3797319369672686592,173.47694370623447,-0.033455445707471464,0.7602273705035114,57.064230490081094,0.6263375722746239,1671.822302710213,10.946384,0.018918265
3799785574253882752,175.88415230844495,2.698613226711965,0.32003361878151,60.66107295879183,0.5949912328896658,1673.10169744051,12.795615,0.018320391
2313783205448950784,358.67366330062373,-33.481360194718974,0.3701002230002173,-76.22130198698154,0.6167794938659961,1755.0550267994317,12.812362,0.0050650053
2329707050101123712,350.6959915781254,-30.11941702176422,0.3791758304284287,-70.34862085171433,0.4491241064094313,1756.1361885295876,12.257785,0.03188619
3586809416040790144,175.27821196465447,-10.618562316533897,0.3454574570712694,48.57857325458052,0.6223338381434504,1677.8544730771525,12.592359,0.007351766
3587566361077304704,177.23425635656818,-10.441424088999167,0.6717340796179506,49.48772325890354,0.7328364897244484,1679.704243917931,11.330726,0.0029989341
3594224105844744960,179.63884670154593,-8.129302561056601,0.30120283649559065,52.48696154591141,0.7696469545287501,1680.3533837019352,12.826368,0.002895507
3595071661808004864,178.39510568914923,-7.9353115236154625,0.3695535158038283,52.23932811231476,0.7481905193791184,1679.5121400859127,12.701188,0.0012557268
3604450388616968576,200.88885619472586,-16.666275131552236,0.6856894662419037,45.517783138699386,0.6151036510847576,1698.3246760138857,11.36338,0.011595397
4784552718312266624,72.52757551185044,-50.65699894605467,0.793504206000486,-39.61134814534279,0.4403747115115831,1724.3949774750438,11.336214,0.011618495
4788620567737382144,66.81824779049951,-48.467802284282484,0.5846667129456071,-43.51436635047674,0.6130798024005067,1723.0830604165665,11.7675295,0.0028017962
4788830127781508864,64.45484534915343,-48.00885055049555,0.3774629913555948,-45.13640862504658,0.5760930426194438,1722.9822892024706,12.539917,0.005280357
