source_id,phot_variable_flag,pf,epoch_g
245002531050576896,VARIABLE,0.5205123049162365,1705.1323363868853
245504251951140864,VARIABLE,0.5071152853230051,1705.9412367736477
245823861938360064,VARIABLE,0.47876357277336673,1705.2243456795914
246756973652292992,VARIABLE,0.4893027405323637,1705.6949318749541
359112665277840512,VARIABLE,0.5017802473708718,1700.672707464247
414003442535159936,VARIABLE,0.474867501878603,1699.303858858756
414081061185873792,VARIABLE,0.5889203707366553,1698.6288676747733
414152842984521856,VARIABLE,0.36438054616789506,1699.0448684221983
414254032403091072,VARIABLE,0.4181043701719148,1699.3582848579376
415000566440590976,VARIABLE,0.617382983500351,1697.739636468444
415734726673466880,VARIABLE,0.5485963937104229,1697.4355660611313
415793550544347904,VARIABLE,0.6328121351679219,1697.1238325012794
415808810565481856,VARIABLE,0.5280682257685914,1697.0025151537461
416057712507961984,VARIABLE,0.6295707421197515,1697.5520281910608
5711995895941806848,VARIABLE,0.568412048397896,1760.665103051386
5712200744407001728,VARIABLE,0.6002787893075908,1760.9904269543122
5712267402298562560,VARIABLE,0.500511189212223,1795.0408260959239
5712340592847082240,VARIABLE,0.39529247326857037,1761.2937158486131
5712433192340393984,VARIABLE,0.5275443684761526,1761.1270090084474
5712558399226944640,VARIABLE,0.5519159955805284,1761.1289225252858
5712669411241837184,VARIABLE,0.6265745841725116,1760.7388111891923
5835722771288644096,VARIABLE,0.6295084275567943,1738.7902702556269
5712768539085118080,VARIABLE,0.5715505329780117,1760.6903522608634
5712783421155718144,VARIABLE,0.5585783534885322,1794.8551080129896
5712820323507980928,VARIABLE,0.4773477948910928,1761.7121283430758
5712877910433273984,VARIABLE,0.5120520264122677,1761.4574886195167
5712911892215220352,VARIABLE,0.5221313128400203,1761.011735219963
5712952471067022208,VARIABLE,0.7616425218806876,1760.965704539042
5713037266597884672,VARIABLE,0.610445838317227,1793.273031713672
5902294729946019712,VARIABLE,0.4893713948556297,1703.6203055023375
5902298818754948608,VARIABLE,0.5355592291183362,1703.2344137472876
5902307580488738304,VARIABLE,0.5893508019399855,1703.1852606544128
5902330395356226560,VARIABLE,0.5923490999404215,1703.112516371284
5902336885020545280,VARIABLE,0.612653295654318,1702.7432725199048
5902342146371726592,VARIABLE,0.5541412164997707,1736.580603757588
5902375922011339008,VARIABLE,0.5684686735584941,1703.2504775042755
5902378430272347264,VARIABLE,0.4861932558734533,1703.589366813818
5902412446405384448,VARIABLE,0.6830909254816172,1702.788725235512
5902437838253572992,VARIABLE,0.6036905937437328,1703.4381979628859
5902489377863428864,VARIABLE,0.49814234639216554,1830.681590432194
5902499995022948992,VARIABLE,0.45805961807016055,1737.1346568462031
5902502090966850944,VARIABLE,0.43343099461153606,1703.7171320475225
5902512467598855040,VARIABLE,0.5806917701080435,1703.2212065303543
5902551672065087232,VARIABLE,0.4825205080579526,1704.037461670849
5902554042887061760,VARIABLE,0.6093072252648318,1703.3435580021153
6061545623286615296,VARIABLE,0.556567533272927,1698.3547022047749
6061643754695131008,VARIABLE,0.730192246303345,1697.9845882104423
6061651004600021888,VARIABLE,0.4986572919026286,1698.378337901349
6061675365655690624,VARIABLE,0.4743862573216748,1698.4998999828013
6061700551345078912,VARIABLE,0.6521451906958657,1698.0367394215687
6061710270833736192,VARIABLE,0.5633251522852647,1698.2281309036964
6061741130185585280,VARIABLE,0.4595225247274625,1698.7571996440095
6061807062215683072,VARIABLE,0.642767189231687,1697.7778392426492
6061866508861866240,VARIABLE,0.3975754419057156,1699.2538020337797
6061867986376466688,VARIABLE,0.7661549151362533,1732.817197156001
6061905026177458176,VARIABLE,0.6274539600790833,1733.3094432286382
5238423009358302848,VARIABLE,0.5459777620709664,1696.3999200145142
5238455062702173440,VARIABLE,0.5354670227894751,1696.145840174403
5238537564748121216,VARIABLE,0.5688115248532911,1696.282764544
5238593124432072704,VARIABLE,0.6611205592220339,1732.7334052417687
5238607280646051840,VARIABLE,0.5004784461574003,1696.132422056791
5238656101529912448,VARIABLE,0.7133015224698825,1695.1475665557393
5238719946248195584,VARIABLE,0.518196261495078,1695.8594284569651
5238729773132850432,VARIABLE,0.6113987420039254,1695.6335544426547
1933740099389964544,VARIABLE,0.451071814482207,1681.6340784772199
1933774424769244672,VARIABLE,0.643004412459762,1681.6716879666415
1933932037186583808,VARIABLE,0.5409160739958043,1683.686579032136
1934025701833533056,VARIABLE,0.740058253989308,1681.38281752461
1934205880002515456,VARIABLE,0.5832678930991227,1684.3794549278161
1934591533705740928,VARIABLE,0.6607038024126309,1684.0845815083367
1934784777174637056,VARIABLE,0.7106547109891534,1687.058517672512
1934869366550952448,VARIABLE,0.5356983840888766,1687.6169553331986
1935104150941800320,VARIABLE,0.8038978699911781,1689.5300567427105
1935230693559394816,VARIABLE,0.4819064630079933,1688.0100173218698
1935418400810447744,VARIABLE,0.5566101992639924,1690.7957767658893
1935591853067670912,VARIABLE,0.39591572144276255,1687.4381674133313
1935623189149153664,VARIABLE,0.465794168058462,1687.5805491681824
1935783924006493056,VARIABLE,0.6108757267962135,1685.2383208694907
1936034303418884992,VARIABLE,0.5798195023380125,1689.4443799414405
1936052754598476416,VARIABLE,0.47394317301287137,1690.0012647757658
1936068285199840128,VARIABLE,0.6259181572026913,1688.807901966956
1936256744066915200,VARIABLE,0.5932425389859053,1691.1884414023955
4317959119274420096,VARIABLE,0.4094422675131341,1724.6897852504592
4317965200961192448,VARIABLE,0.6514941874391849,1723.8922338595132
