source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
5082275006547809536,55.908656887737756,-25.069824753615666,0.26809523957285347,0.016528321,-51.47302371332451,1.2916142,0.6045656,1.1586417,0.5599589021541818,1715.712446305689,13.462838,0.003699631
5083946363004134144,57.46167951706597,-23.93054026446269,0.5946781130908292,0.017433707,-49.8322488970572,1.2285337,0.6344366,1.2145318,0.49750448582774803,1715.8045403861545,12.052523,0.0041959034
5094203642556959744,60.80074303875493,-19.853202386844266,0.5017024595959433,0.020860914,-45.693940849004406,1.5008504,0.60473824,1.2386948,0.6088124847419696,1715.665077700699,11.987591,0.0063922284
5094426804761045248,60.04487036910923,-19.827044802745775,0.4086511433886336,0.015646426,-46.35806582585982,1.1832763,0.61730003,1.189365,0.6021733362599567,1715.2231449142398,12.443733,0.010910096
5098240155900394112,51.16015378180931,-23.57851381193244,0.36106562106170625,0.017754834,-55.33792695831056,1.2608062,0.58556557,1.1662832,0.629624359508207,1714.438814862116,12.518427,0.01379541
4658048266412380288,82.3241822609254,-69.36958691558688,1.5453037460475805,0.28667924,-32.46203610681037,1.2616185,0.71932983,1.4876876,0.5651730862028925,1694.7674176243436,19.242418,0.029460032
4654699433004977920,73.25966067452313,-71.00418624335255,8.071455328097471,1.2755656,-35.04652054776616,3.2228713,0.4912529,1.8232489,0.5135721592999917,1695.3821485246174,19.498472,0.10177972
580348453620559360,136.20240348333073,5.502315372000791,0.5183501987504233,0.049243838,32.04933996526803,3.1214235,0.5583706,1.1953968,0.49683257697623245,1757.7706434634695,12.555153,0.028456397
584371601026374272,133.72290623274645,6.436824593962133,0.5023216203946383,0.017206505,30.31802198627761,1.0045012,0.66547585,1.1877078,0.636424023604154,1756.9964357712986,12.259682,0.0019192556
586254622063844736,142.60890413338174,7.205748909109174,0.413362843606383,0.017936151,38.44674515040859,1.2768469,0.6680546,1.199686,0.6028511675471729,1758.1237955950864,12.420674,0.0035330036
3834029481648387968,147.03919260764712,0.0021212260867012373,0.46998302687876625,0.018760772,38.335091384808436,1.0667734,0.78291225,1.2176744,0.8339198454747654,1759.554580389306,11.845472,0.0040187407
3844396540563624832,142.28065991626687,1.456713329395275,0.613325049466868,0.020898102,35.20937516561878,1.1731727,0.7196579,1.2185326,0.6343515568959289,1759.2446304695961,11.697707,0.0032393388
1154484945718096000,223.67339149871557,2.739102932628916,0.2718416678416622,0.022046389,51.74572637926257,1.3402344,0.6203766,1.1662889,0.6626989274447298,1707.7469073667792,13.727878,0.017052189
1154932172072449280,224.62096968890128,3.4383544798111108,0.2505670205961741,0.020234877,51.50796725073917,1.1301095,0.6921463,1.1633338,0.4813856201641741,1708.7550190663967,13.872293,0.01642101
1157097900741574784,227.99491455108526,6.038828214321395,0.25878082375580325,0.021242766,50.51207589177224,1.3134025,0.63793945,1.1501925,0.4650393110156827,1709.8549699163693,13.527132,0.034905
1163903534120157952,229.82815581107042,7.88499596103219,0.3229911854625267,0.021375204,50.07633585600629,1.1030971,0.5665064,1.1781715,0.5479388429963341,1710.655697271529,12.831994,0.036321428
3785081118060878336,167.8414069519628,-5.892082828247978,0.4453030510200071,0.024124516,49.061622819465654,1.5056145,0.6224079,1.2277446,0.6728687446134998,1668.3255166600957,12.00569,0.028767461
3797319369672686592,173.47694370623447,-0.033455445707471464,0.7602273705035114,0.024974266,57.064230490081094,1.2027833,0.59882927,1.2612067,0.6263375722746239,1671.822302710213,10.946384,0.018918265
3799785574253882752,175.88415230844495,2.698613226711965,0.32003361878151,0.020566136,60.66107295879183,1.0642425,0.5884981,1.1747977,0.5949912328896658,1673.10169744051,12.795615,0.018320391
2313783205448950784,358.67366330062373,-33.481360194718974,0.3701002230002173,0.020555092,-76.22130198698154,1.3577589,0.57601833,1.1661792,0.6167794938659961,1755.0550267994317,12.812362,0.0050650053
2329707050101123712,350.6959915781254,-30.11941702176422,0.3791758304284287,0.029682912,-70.34862085171433,1.6944097,0.6315155,1.2086215,0.4491241064094313,1756.1361885295876,12.257785,0.03188619
3586809416040790144,175.27821196465447,-10.618562316533897,0.3454574570712694,0.029524457,48.57857325458052,1.5663278,0.6619377,1.1775548,0.6223338381434504,1677.8544730771525,12.592359,0.007351766
3587566361077304704,177.23425635656818,-10.441424088999167,0.6717340796179506,0.033059712,49.48772325890354,1.3273011,0.6200819,1.2379117,0.7328364897244484,1679.704243917931,11.330726,0.0029989341
3594224105844744960,179.63884670154593,-8.129302561056601,0.30120283649559065,0.020032136,52.48696154591141,1.0991005,0.6524887,1.1800909,0.7696469545287501,1680.3533837019352,12.826368,0.002895507
3595071661808004864,178.39510568914923,-7.9353115236154625,0.3695535158038283,0.017755514,52.23932811231476,1.0774964,0.6979666,1.1895247,0.7481905193791184,1679.5121400859127,12.701188,0.0012557268
3604450388616968576,200.88885619472586,-16.666275131552236,0.6856894662419037,0.025616487,45.517783138699386,1.2529854,0.6844988,1.2165883,0.6151036510847576,1698.3246760138857,11.36338,0.011595397
4784552718312266624,72.52757551185044,-50.65699894605467,0.793504206000486,0.012780183,-39.61134814534279,0.9212791,0.64166737,1.2140592,0.4403747115115831,1724.3949774750438,11.336214,0.011618495
4788620567737382144,66.81824779049951,-48.467802284282484,0.5846667129456071,0.011731222,-43.51436635047674,1.0496651,0.63605595,1.2078979,0.6130798024005067,1723.0830604165665,11.7675295,0.0028017962
4788830127781508864,64.45484534915343,-48.00885055049555,0.3774629913555948,0.015057466,-45.13640862504658,1.6753789,0.67425823,1.1386058,0.5760930426194438,1722.9822892024706,12.539917,0.005280357
4793950312913699328,84.96203078396498,-49.42814117443551,0.3711630341537675,0.013272379,-31.617750800665313,1.0613245,0.6664963,1.1859552,0.610258020643402,1733.08632215641,12.899186,0.0039241505
4453598240883472896,244.25199515741073,10.291021448026088,0.2952710931627969,0.017107818,38.89264881451958,1.3421091,0.6580057,1.1916527,0.5479330437182464,1714.4876704331405,13.15791,0.005798955
4454183799545435008,238.91819856710862,7.988740498023956,0.5748808151370919,0.020942027,42.45102915220585,1.170542,0.62345123,1.2473534,0.7465868783532106,1712.0688223868387,11.348698,0.015915
4455653709154659072,238.12207095702863,10.142751976912015,0.33286362042582474,0.01614534,44.181643534517015,0.97015446,0.6117077,1.1474872,0.5113860968945318,1713.0246730869476,12.908362,0.021615168
4458616102716856320,248.05149074714117,10.31838176805553,0.3280906440490289,0.025937576,35.55533626003754,1.6507735,0.74302197,1.2116008,0.7863455532931499,1714.9533256642428,13.321771,0.0006288169
3176677353948040320,62.82010323626811,-13.848348654312003,0.30437339252369716,0.019412627,-41.68543086550128,1.2584254,0.6636257,1.1976755,0.554247686728747,1714.8957252686291,12.838316,0.027402047
3181149548774349824,71.97045006414992,-11.346147570367055,0.3928611611900021,0.016623726,-32.52573321530867,1.0931841,0.7524004,1.1856767,0.6400416330009928,1716.1389031818735,12.840478,0.001304163
3186033648144893696,69.50196304431454,-8.754478344062193,0.25005605868053465,0.015688466,-33.57787846087632,1.1431019,0.6696596,1.2294258,0.48163409649707073,1715.498169162059,13.455647,0.019041646
